[2018-09-03 18:26:44.286] Starting up round ID 2160.
[2018-09-03 18:26:44.286] -------------------------
[2018-09-03 18:54:23.322] ATTACK: *no key*/(legion) has attacked APersonsName222/(Pavlo Asterton) (NEWHP: 74.9)  (Lavaland Wastes (92, 51, 5))
[2018-09-03 18:54:26.242] ATTACK: APersonsName222/(Pavlo Asterton) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (85, 52, 5))
[2018-09-03 18:54:27.321] ATTACK: *no key*/(legion) has attacked APersonsName222/(Pavlo Asterton) (NEWHP: 68.6)  (Lavaland Wastes (86, 52, 5))
[2018-09-03 18:54:27.325] ATTACK: *no key*/(legion) has attacked APersonsName222/(Pavlo Asterton) (NEWHP: 62.3)  (Lavaland Wastes (85, 53, 5))
[2018-09-03 18:54:28.738] ATTACK: APersonsName222/(Pavlo Asterton) has attacked *no key*/(legion) with proto-kinetic accelerator[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (85, 52, 5))
[2018-09-03 18:54:29.321] ATTACK: *no key*/(legion) has attacked APersonsName222/(Pavlo Asterton) (NEWHP: 56)  (Lavaland Wastes (86, 52, 5))
[2018-09-03 18:54:29.324] ATTACK: *no key*/(legion) has attacked APersonsName222/(Pavlo Asterton) (NEWHP: 49.7)  (Lavaland Wastes (85, 53, 5))
[2018-09-03 18:54:29.557] ATTACK: APersonsName222/(Pavlo Asterton) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (85, 52, 5))
[2018-09-03 18:54:33.132] ATTACK: APersonsName222/(Pavlo Asterton) has shot *no key*/(legion) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (85, 55, 5))
[2018-09-03 18:54:35.939] ATTACK: David Blanc/(Gage Young) has thrown the butcher's cleaver (Cargo Office (89, 118, 2))
