[2018-08-18 15:41:56.781] Starting up round ID 1985.
[2018-08-18 15:41:56.781] -------------------------
[2018-08-18 15:58:24.320] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 59.625)  (Unexplored Location (125, 87, 5))
[2018-08-18 15:58:26.256] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(undead eskimo) (NEWHP: 10)  (Unexplored Location (122, 86, 5))
[2018-08-18 15:58:26.316] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 49.625)  (Unexplored Location (123, 87, 5))
[2018-08-18 15:58:26.320] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 42.875)  (Unexplored Location (123, 86, 5))
[2018-08-18 15:58:28.319] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 36.5)  (Unexplored Location (119, 87, 5))
[2018-08-18 15:58:28.322] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 29.75)  (Unexplored Location (119, 86, 5))
[2018-08-18 15:58:28.896] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(undead eskimo) with proto-kinetic accelerator[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 45)  (Unexplored Location (117, 87, 5))
[2018-08-18 15:58:29.824] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(undead eskimo) with proto-kinetic accelerator[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 5)  (Unexplored Location (117, 87, 5))
[2018-08-18 15:58:30.317] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 19.75)  (Unexplored Location (118, 88, 5))
[2018-08-18 15:58:30.321] ATTACK: *no key*/(undead eskimo) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 12.25)  (Unexplored Location (118, 87, 5))
