[2018-09-09 00:12:38.231] Starting up round ID 2217.
[2018-09-09 00:12:38.231] -------------------------
[2018-09-09 00:54:24.209] ATTACK: ChippedIce/(Reed Whiteman) has fired at [floor] with [electrode] from Starboard Primary Hallway (Starboard Primary Hallway (168, 130, 2))
[2018-09-09 00:54:31.403] ATTACK: ChippedIce/(Reed Whiteman) has fired at [floor] with [electrode] from Central Primary Hallway (Central Primary Hallway (119, 112, 2))
[2018-09-09 00:54:32.413] ATTACK: ChippedIce/(Reed Whiteman) has fired at [floor] with [electrode] from Central Primary Hallway (Central Primary Hallway (109, 112, 2))
[2018-09-09 00:55:47.804] ATTACK: ChippedIce/(Reed Whiteman) has thrown the fire extinguisher (Starboard Primary Hallway (145, 129, 2))
[2018-09-09 00:56:18.096] ATTACK: swindel/(Tul-Ullis) has grabbed Luka Noktorios/(Moth Salts) passive grab (NEWHP: 81.3)  (Medbay Central (138, 118, 2))
[2018-09-09 00:56:27.958] ATTACK: swindel/(Tul-Ullis) has placed Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (133, 109, 2))
[2018-09-09 00:56:38.105] ATTACK: swindel/(Tul-Ullis) has stripped the beer goggles off Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (135, 108, 2))
[2018-09-09 00:56:38.905] ATTACK: swindel/(Tul-Ullis) has stripped the leather satchel off Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (135, 108, 2))
[2018-09-09 00:56:39.506] ATTACK: swindel/(Tul-Ullis) has stripped the top-hat off Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (135, 108, 2))
[2018-09-09 00:56:40.006] ATTACK: swindel/(Tul-Ullis) has stripped the budget insulated gloves off Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (135, 108, 2))
[2018-09-09 00:56:40.455] ATTACK: swindel/(Tul-Ullis) has stripped the service radio headset off Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (135, 108, 2))
[2018-09-09 00:56:41.256] ATTACK: swindel/(Tul-Ullis) has stripped the double-barreled shotgun off Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (135, 108, 2))
[2018-09-09 00:56:41.606] ATTACK: swindel/(Tul-Ullis) has stripped the laceup shoes off Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (135, 108, 2))
[2018-09-09 00:56:42.306] ATTACK: swindel/(Tul-Ullis) has stripped the bartender's uniform off Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (135, 108, 2))
[2018-09-09 00:56:42.905] ATTACK: swindel/(Tul-Ullis) has stripped the armor vest off Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (135, 108, 2))
[2018-09-09 00:56:47.900] ATTACK: swindel/(Tul-Ullis) has grabbed Luka Noktorios/(Moth Salts) passive grab (NEWHP: 81.3)  (Medbay Treatment Center (134, 109, 2))
[2018-09-09 00:57:24.987] ATTACK: swindel/(Tul-Ullis) has grabbed Luka Noktorios/(Moth Salts) passive grab (NEWHP: 81.3)  (Medbay Treatment Center (133, 108, 2))
[2018-09-09 00:57:29.889] ATTACK: swindel/(Tul-Ullis) has placed Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (133, 108, 2))
[2018-09-09 00:57:41.867] ATTACK: swindel/(Tul-Ullis) has operated on Luka Noktorios/(Moth Salts) (OPERATION TYPE: organ manipulation) (TARGET AREA: chest) (NEWHP: 81.3)  (Medbay Treatment Center (134, 109, 2))
[2018-09-09 00:58:01.101] ATTACK: swindel/(Tul-Ullis) has attacked Luka Noktorios/(Moth Salts) with cautery[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 81.3)  (Medbay Treatment Center (134, 109, 2))
[2018-09-09 00:58:25.316] ATTACK: swindel/(Tul-Ullis) has operated on Luka Noktorios/(Moth Salts) (OPERATION TYPE: organ manipulation) (TARGET AREA: groin) (NEWHP: 81.3)  (Medbay Treatment Center (134, 109, 2))
[2018-09-09 00:58:53.306] ATTACK: BuckyBoy/(Beau Richards) has thrown the newspaper (Research and Development (186, 121, 2))
[2018-09-09 00:59:54.584] ATTACK: swindel/(Tul-Ullis) has surgically removed inflamed appendix from Luka Noktorios/(Moth Salts) INTENT: HELP (NEWHP: 81.3)  (Medbay Treatment Center (134, 109, 2))
[2018-09-09 01:00:02.434] ATTACK: swindel/(Tul-Ullis) has shaked Luka Noktorios/(Moth Salts) (NEWHP: 81.3)  (Medbay Treatment Center (134, 109, 2))
[2018-09-09 01:00:03.606] ATTACK: swindel/(Tul-Ullis) has grabbed Luka Noktorios/(Moth Salts) passive grab (NEWHP: 81.3)  (Medbay Treatment Center (134, 109, 2))
[2018-09-09 01:00:23.044] ATTACK: ChippedIce/(Reed Whiteman) has thrown the fire extinguisher (Starboard Primary Hallway (161, 128, 2))
[2018-09-09 01:00:27.672] ATTACK: swindel/(Tul-Ullis) has slipped on the [floor] (Starboard Primary Hallway (158, 129, 2))
[2018-09-09 01:00:31.310] ATTACK: ChippedIce/(Reed Whiteman) has shaked swindel/(Tul-Ullis) (NEWHP: 93.3)  (Starboard Primary Hallway (158, 130, 2))
[2018-09-09 01:00:34.624] ATTACK: swindel/(Tul-Ullis) has slipped on the [floor] (Starboard Primary Hallway (169, 128, 2))
[2018-09-09 01:00:39.860] ATTACK: ChippedIce/(Reed Whiteman) has shaked swindel/(Tul-Ullis) (NEWHP: 93.3)  (Starboard Primary Hallway (168, 128, 2))
[2018-09-09 01:01:44.711] ATTACK: BuckyBoy/(Beau Richards) has slipped on the [floor] (Starboard Primary Hallway (169, 128, 2))
[2018-09-09 01:01:47.308] ATTACK: swindel/(Tul-Ullis) has shaked BuckyBoy/(Beau Richards) (NEWHP: 100)  (Starboard Primary Hallway (170, 128, 2))
[2018-09-09 01:02:11.823] ATTACK: swindel/(Tul-Ullis) has grabbed BuckyBoy/(Beau Richards) passive grab (NEWHP: 100)  (Starboard Primary Hallway (159, 128, 2))
