[2018-09-04 21:47:16.162] Starting up round ID 2177.
[2018-09-04 21:47:16.162] -------------------------
[2018-09-04 22:01:06.591] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 131, 2))
[2018-09-04 22:01:07.154] ATTACK: ChippedIce/(Hana Robusto) has stunned Bluezinho/(Bluezinho Robert) with [telescopic baton] (NEWHP: 71.5)  (Recreational Holodeck (144, 154, 2))
[2018-09-04 22:01:08.767] ATTACK: ChippedIce/(Hana Robusto) has grabbed Bluezinho/(Bluezinho Robert) passive grab (NEWHP: 71.5)  (Recreational Holodeck (144, 154, 2))
[2018-09-04 22:01:09.802] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 20)  (Lavaland Wastes (87, 119, 5))
[2018-09-04 22:01:09.900] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (87, 119, 5))
[2018-09-04 22:01:11.227] ATTACK: ChippedIce/(Hana Robusto) has grabbed Bluezinho/(Bluezinho Robert) aggressive grab (NEWHP: 71.5)  (Recreational Holodeck (144, 155, 2))
[2018-09-04 22:01:15.329] ATTACK: ChippedIce/(Hana Robusto) has pushed Bluezinho/(Bluezinho Robert) (NEWHP: 71.5)  (Recreational Holodeck (144, 155, 2))
[2018-09-04 22:01:15.337] ATTACK: MiniMeatwad/(Lexia Adams) has thrown the plasteel (Robotics Lab (173, 125, 2))
[2018-09-04 22:01:16.427] ATTACK: ChippedIce/(Hana Robusto) has grabbed Bluezinho/(Bluezinho Robert) passive grab (NEWHP: 71.5)  (Recreational Holodeck (144, 155, 2))
[2018-09-04 22:01:18.823] ATTACK: MiniMeatwad/(Lexia Adams) has attacked [exosuit fabricator] with [metal] (Robotics Lab (173, 122, 2))
[2018-09-04 22:01:22.385] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-09-04 22:01:23.953] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 129, 2))
[2018-09-04 22:01:24.749] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 129, 2))
[2018-09-04 22:01:25.679] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 129, 2))
[2018-09-04 22:01:26.613] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 129, 2))
[2018-09-04 22:01:27.403] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 129, 2))
[2018-09-04 22:01:28.198] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (126, 129, 2))
[2018-09-04 22:01:29.055] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (127, 129, 2))
[2018-09-04 22:01:29.878] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (127, 129, 2))
[2018-09-04 22:01:30.706] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (127, 129, 2))
[2018-09-04 22:01:31.611] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (127, 129, 2))
[2018-09-04 22:01:32.387] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (127, 129, 2))
[2018-09-04 22:01:33.305] ATTACK: SuperbDingaling/(Mateo Keppel) has attacked [display case] with [fire extinguisher] (Captain's Office (127, 129, 2))
