[2018-08-22 17:51:41.595] Starting up round ID 2043.
[2018-08-22 17:51:41.595] -------------------------
[2018-08-22 18:08:45.876] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:46.027] ATTACK: Shamzie/(Lukash Russianman) has attempted to disarm ChippedIce/(Hana Robusto) (NEWHP: 100)  (Cargo Office (91, 117, 2))
[2018-08-22 18:09:08.203] ATTACK: Shamzie/(Lukash Russianman) has pushed over ChippedIce/(Hana Robusto) (NEWHP: 100)  (Central Primary Hallway (98, 119, 2))
[2018-08-22 18:09:09.042] ATTACK: Shamzie/(Lukash Russianman) has grabbed ChippedIce/(Hana Robusto) passive grab (NEWHP: 100)  (Central Primary Hallway (98, 119, 2))
[2018-08-22 18:09:10.206] ATTACK: Shamzie/(Lukash Russianman) has grabbed ChippedIce/(Hana Robusto) aggressive grab (NEWHP: 100)  (Central Primary Hallway (98, 119, 2))
[2018-08-22 18:09:11.406] ATTACK: Shamzie/(Lukash Russianman) has thrown ChippedIce/(Hana Robusto) grab from tile in Central Primary Hallway (98, 120, 2) towards tile at Cargo Office (95, 119, 2) (NEWHP: 100)  (Central Primary Hallway (98, 120, 2))
[2018-08-22 18:09:11.408] ATTACK: Shamzie/(Lukash Russianman) has thrown Hana Robusto (Central Primary Hallway (98, 120, 2))
[2018-08-22 18:09:35.228] ATTACK: Smarrazzo/(Simon Fenix) has grabbed Bilary/(IckyOocky) passive grab (NEWHP: 50)  (Engineering (125, 66, 2))
[2018-08-22 18:09:51.084] ATTACK: ChippedIce/(Hana Robusto) has pushed over Shamzie/(Lukash Russianman) (NEWHP: 79)  (Central Primary Hallway (96, 118, 2))
[2018-08-22 18:09:55.028] ATTACK: Mr.Cheese1/(Buzzbo Billington) has shaked Shamzie/(Lukash Russianman) (NEWHP: 79)  (Central Primary Hallway (96, 119, 2))
[2018-08-22 18:10:03.605] ATTACK: Smarrazzo/(Simon Fenix) has grabbed Bilary/(IckyOocky) passive grab (NEWHP: 65)  (Engineering (104, 75, 2))
[2018-08-22 18:10:31.934] ATTACK: Smarrazzo/(Simon Fenix) has grabbed Bilary/(IckyOocky) passive grab (NEWHP: 73)  (AI Satellite Antechamber (150, 56, 2))
[2018-08-22 18:10:49.674] ATTACK: Smarrazzo/(Simon Fenix) has grabbed Bilary/(IckyOocky) passive grab (NEWHP: 82)  (AI Chamber (150, 38, 2))
[2018-08-22 18:11:06.201] ATTACK: Smarrazzo/(Simon Fenix) has grabbed Bilary/(IckyOocky) passive grab (NEWHP: 85)  (AI Chamber (150, 37, 2))
[2018-08-22 18:11:08.671] ATTACK: Smarrazzo/(Simon Fenix) has attacked Bilary/(IckyOocky) with wrench[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 80)  (AI Chamber (150, 33, 2))
[2018-08-22 18:11:19.420] ATTACK: AstronautCat/(Delia Eld) has grabbed *no key*/(Paperwork) passive grab (NEWHP: 50)  (Cargo Bay (81, 123, 2))
[2018-08-22 18:13:11.021] ATTACK: Shamzie/(Lukash Russianman) has slipped on the [floor] (Research Division (182, 118, 2))
[2018-08-22 18:13:14.244] ATTACK: ChippedIce/(Hana Robusto) has thrown the fire extinguisher (Research Division (185, 118, 2))
[2018-08-22 18:13:16.495] ATTACK: ChippedIce/(Hana Robusto) has shaked Shamzie/(Lukash Russianman) (NEWHP: 100)  (Research Division (183, 117, 2))
[2018-08-22 18:13:16.917] ATTACK: Shamzie/(Lukash Russianman) has attempted to disarm ChippedIce/(Hana Robusto) (NEWHP: 100)  (Research Division (182, 118, 2))
[2018-08-22 18:13:34.901] ATTACK: Smarrazzo/(Simon Fenix) has thrown the high-capacity power cell (Robotics Lab (173, 121, 2))
[2018-08-22 18:14:56.305] ATTACK: Shamzie/(Lukash Russianman) <span class='danger'>cast the spell Summon infernal contract.</span> (Research and Development (186, 125, 2))
[2018-08-22 18:16:05.103] ATTACK: ChippedIce/(Hana Robusto) has climbed onto [wooden table] (Library (175, 135, 2))
[2018-08-22 18:16:31.856] ATTACK: Mr.Cheese1/(Buzzbo Billington) has thrown the floor tile (Starboard Primary Hallway (176, 127, 2))
[2018-08-22 18:17:05.942] ATTACK: ChippedIce/(Hana Robusto) has attacked [light fixture] with [screwdriver] (Library (175, 138, 2))
[2018-08-22 18:17:24.900] ATTACK: ChippedIce/(Hana Robusto) has climbed onto [wooden table] (Library (175, 135, 2))
[2018-08-22 18:18:12.352] ATTACK: Shamzie/(Lukash Russianman) has slipped on the [floor] (Starboard Primary Hallway (153, 128, 2))
[2018-08-22 18:18:44.298] ATTACK: Mr.Cheese1/(Buzzbo Billington) has shaked Shamzie/(Lukash Russianman) (NEWHP: 100)  (Hydroponics (160, 135, 2))
[2018-08-22 18:18:49.248] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade (CLOSED)] with [wrench] (Port Quarter Maintenance (79, 99, 2))
