[2018-08-26 05:56:41.911] Starting up round ID 2084.
[2018-08-26 05:56:41.911] -------------------------
[2018-08-26 06:11:45.131] ATTACK: BRhunter45/(Adolph Mills) has attacked [Chemistry Desk] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:46.284] ATTACK: BRhunter45/(Adolph Mills) has attacked [Chemistry Desk] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:47.294] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:48.414] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:49.285] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:50.086] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:51.175] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:52.006] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:52.827] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:53.705] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:54.569] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:11:55.471] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Medbay Central (138, 123, 2))
[2018-08-26 06:12:24.423] ATTACK: BRhunter45/(Adolph Mills) has thrown the large beaker (Central Primary Hallway (128, 130, 2))
[2018-08-26 06:13:05.739] ATTACK: BRhunter45/(Adolph Mills) has thrown the large beaker (Central Primary Hallway (128, 128, 2))
[2018-08-26 06:13:19.586] ATTACK: BRhunter45/(Adolph Mills) has attacked [wooden table] with [fire axe (Wielded)] (Captain's Office (127, 128, 2))
[2018-08-26 06:13:20.525] ATTACK: BRhunter45/(Adolph Mills) has attacked [wooden table] with [fire axe (Wielded)] (Captain's Office (127, 128, 2))
[2018-08-26 06:13:21.288] ATTACK: BRhunter45/(Adolph Mills) has attacked [wooden table] with [fire axe (Wielded)] (Captain's Office (127, 128, 2))
[2018-08-26 06:13:23.153] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:24.068] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:24.842] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:26.335] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:27.358] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:28.577] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:29.363] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:30.242] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:31.176] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:32.308] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:33.101] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:33.945] ATTACK: BRhunter45/(Adolph Mills) has attacked [display case] with [fire axe (Wielded)] (Captain's Office (126, 129, 2))
[2018-08-26 06:13:37.111] ATTACK: BRhunter45/(Adolph Mills) has thrown the fire axe (Captain's Office (125, 124, 2))
[2018-08-26 06:13:44.200] ATTACK: BRhunter45/(Adolph Mills) has attacked [Captain's Desk Door] with [fire axe (Wielded)] (Captain's Office (123, 124, 2))
[2018-08-26 06:13:45.171] ATTACK: BRhunter45/(Adolph Mills) has attacked [Captain's Desk Door] with [fire axe (Wielded)] (Captain's Office (123, 124, 2))
[2018-08-26 06:13:46.197] ATTACK: BRhunter45/(Adolph Mills) has attacked [Captain's Desk Door] with [fire axe (Wielded)] (Captain's Office (123, 124, 2))
