[2018-09-10 04:43:04.954] Starting up round ID 2236.
[2018-09-10 04:43:04.954] -------------------------
[2018-09-10 10:40:45.532] ATTACK: *no key*/(colossus) has fired at *no key*/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:45.535] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2450)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:45.541] ATTACK: *no key*/(colossus) has shot *no key*/(Suno Fang) with [death bolt] (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:45.782] ATTACK: *no key*/(colossus) has shot *no key*/(Suno Fang) with [death bolt] (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:45.883] ATTACK: *no key*/(colossus) has shot *no key*/(Suno Fang) with [death bolt] (NEWHP: -270)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:46.520] ATTACK: *no key*/(colossus) has fired at [plating] with [death bolt] from CentCom Recovery Ship (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:46.521] ATTACK: *no key*/(colossus) has fired at [shuttle floor] with [death bolt] from CentCom Recovery Ship (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:46.524] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2425)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:46.525] ATTACK: *no key*/(colossus) has fired at [shuttle floor] with [death bolt] from CentCom Recovery Ship (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:46.526] ATTACK: *no key*/(colossus) has fired at [shuttle floor] with [death bolt] from CentCom Recovery Ship (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:46.778] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2450)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:41:13.826] ATTACK: *no key*/(colossus) has attacked Pandolphina/(Hugo Dickinson) (NEWHP: 92.5)  (CentCom Recovery Ship (107, 21, 1))
[2018-09-10 10:41:13.828] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (107, 21, 1))
[2018-09-10 10:41:13.829] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (107, 21, 1))
[2018-09-10 10:41:13.830] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (107, 21, 1))
[2018-09-10 10:41:13.831] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (107, 21, 1))
[2018-09-10 10:41:13.833] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (107, 21, 1))
[2018-09-10 10:41:13.834] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (107, 21, 1))
[2018-09-10 10:41:13.842] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (108, 19, 1))
[2018-09-10 10:41:13.848] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.850] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2475)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.851] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.857] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2450)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.858] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.859] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.861] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2425)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.862] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.869] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2400)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.870] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.876] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2375)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.877] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.879] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.880] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.881] ATTACK: *no key*/(colossus) has fired at Pandolphina/(Hugo Dickinson) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (104, 22, 1))
[2018-09-10 10:41:13.888] ATTACK: *no key*/(colossus) has shot *no key*/(colossus) with [death bolt] (NEWHP: 2350)  (CentCom Recovery Ship (104, 22, 1))
