[2018-08-20 18:11:58.911] Starting up round ID 2020.
[2018-08-20 18:11:58.911] -------------------------
[2018-08-20 18:26:53.257] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (135, 123, 2))
[2018-08-20 18:26:54.276] ATTACK: BoxxyBooty/(Bumps) has thrown the plasma tank (Engineering (107, 79, 2))
[2018-08-20 18:26:54.278] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [mechanical toolbox] (Chemistry (135, 123, 2))
[2018-08-20 18:26:54.282] ATTACK: Davidththird/(Tyron Jamal) has thrown the stool (Starboard Primary Hallway (175, 130, 2))
[2018-08-20 18:26:54.284] ATTACK: Davidththird/(Tyron Jamal) has threw and hit Red Axolotl/(Breaks-The-Bad) with [stool] (NEWHP: 48)  (Starboard Primary Hallway (175, 130, 2))
[2018-08-20 18:26:55.649] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:26:56.554] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:26:57.144] ATTACK: Davidththird/(Tyron Jamal) has disarmed Red Axolotl/(Breaks-The-Bad) (NEWHP: 48)  (Starboard Primary Hallway (172, 130, 2))
[2018-08-20 18:26:57.491] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:26:58.324] ATTACK: BoxxyBooty/(Bumps) has thrown the plasma tank (Engineering (107, 79, 2))
[2018-08-20 18:26:58.448] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:26:59.345] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:27:00.216] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:27:00.491] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the stool (Starboard Primary Hallway (183, 128, 2))
[2018-08-20 18:27:01.020] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:27:01.889] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to disarm Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (170, 129, 2))
[2018-08-20 18:27:01.892] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [welding tool] (Chemistry (135, 123, 2))
[2018-08-20 18:27:02.869] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (169, 129, 2))
[2018-08-20 18:27:03.059] ATTACK: BoxxyBooty/(Bumps) has thrown the plasma tank (Engineering (107, 79, 2))
[2018-08-20 18:27:03.554] ATTACK: Davidththird/(Tyron Jamal) has punched Red Axolotl/(Breaks-The-Bad) (NEWHP: 44.25)  (Starboard Primary Hallway (168, 128, 2))
[2018-08-20 18:27:04.067] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to disarm Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (168, 129, 2))
[2018-08-20 18:27:04.603] ATTACK: Davidththird/(Tyron Jamal) has punched Red Axolotl/(Breaks-The-Bad) (NEWHP: 42.25)  (Starboard Primary Hallway (169, 128, 2))
[2018-08-20 18:27:06.649] ATTACK: Davidththird/(Tyron Jamal) has punched CoolCatIsFeelingGroovy/(Moff) (NEWHP: 98)  (Starboard Primary Hallway (169, 128, 2))
[2018-08-20 18:27:07.371] ATTACK: CoolCatIsFeelingGroovy/(Moff) has disarmed Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (169, 129, 2))
[2018-08-20 18:27:13.530] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (160, 130, 2))
[2018-08-20 18:27:16.668] ATTACK: Davidththird/(Tyron Jamal) has thrown the chair (Starboard Primary Hallway (158, 129, 2))
[2018-08-20 18:27:16.671] ATTACK: Davidththird/(Tyron Jamal) has threw and hit Red Axolotl/(Breaks-The-Bad) with [chair] (NEWHP: 92.5)  (Starboard Primary Hallway (158, 129, 2))
[2018-08-20 18:27:17.084] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to disarm Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (157, 129, 2))
