[2018-09-04 17:45:01.465] Starting up round ID 2174.
[2018-09-04 17:45:01.465] -------------------------
[2018-09-04 18:01:03.724] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:04.222] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:05.282] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:07.279] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:11.268] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:12.271] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:13.774] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:14.775] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:17.271] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:19.267] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:20.772] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:21.770] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:01:22.271] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
