[2018-09-08 00:47:31.959] Starting up round ID 2204.
[2018-09-08 00:47:31.959] -------------------------
[2018-09-08 01:04:58.161] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] from Brig (NEWHP: -60)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.162] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] from Brig (NEWHP: -60)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.163] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] from Brig (NEWHP: -60)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.164] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] from Brig (NEWHP: -60)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.236] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] (NEWHP: -71.75)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.239] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] (NEWHP: -83.5)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.246] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] (NEWHP: -95.25)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.261] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] (NEWHP: -100)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.268] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] (NEWHP: -100)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.288] ATTACK: Juicy_Chicken/(Pyre Smoke) has shot bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] (NEWHP: -100)  (Brig (109, 167, 2))
[2018-09-08 01:04:58.617] ATTACK: Juicy_Chicken/(Pyre Smoke) has fired at bilary/(E.N.C.H.A.N.C.E) with [buckshot pellet] from Brig (NEWHP: -100)  (Brig (109, 167, 2))
