[2018-08-19 16:01:34.135] Starting up round ID 2002.
[2018-08-19 16:01:34.136] -------------------------
[2018-08-19 16:25:17.620] ATTACK: BuckyBoy/(Beau Richards) has punched ChippedIce/(Hana Robusto) (NEWHP: -9.75001)  (Central Primary Hallway (99, 141, 2))
[2018-08-19 16:25:17.912] ATTACK: Bilary/(Lara Black) has attacked ChippedIce/(Hana Robusto) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -18.75)  (Central Primary Hallway (100, 141, 2))
[2018-08-19 16:25:18.534] ATTACK: BuckyBoy/(Beau Richards) has punched ChippedIce/(Hana Robusto) (NEWHP: -21.85)  (Central Primary Hallway (99, 141, 2))
[2018-08-19 16:25:18.803] ATTACK: Bilary/(Lara Black) has attacked ChippedIce/(Hana Robusto) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -30.85)  (Central Primary Hallway (100, 141, 2))
[2018-08-19 16:25:18.938] ATTACK: ChippedIce/(Hana Robusto) has pulled from BuckyBoy/(Beau Richards) with BoxxyBooty/(Bumps) (NEWHP: 100)  (Central Primary Hallway (99, 140, 2))
[2018-08-19 16:25:18.939] ATTACK: BoxxyBooty/(Bumps) has grabbed ChippedIce/(Hana Robusto) passive grab (NEWHP: -30.85)  (Central Primary Hallway (98, 140, 2))
[2018-08-19 16:25:19.412] ATTACK: BuckyBoy/(Beau Richards) has punched ChippedIce/(Hana Robusto) (NEWHP: -35.05)  (Central Primary Hallway (99, 141, 2))
[2018-08-19 16:25:20.945] ATTACK: BuckyBoy/(Beau Richards) has punched BoxxyBooty/(Bumps) (NEWHP: 96.4)  (Central Primary Hallway (97, 134, 2))
[2018-08-19 16:25:22.900] ATTACK: Bilary/(Lara Black) has attacked ChippedIce/(Hana Robusto) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -44.7167)  (Central Primary Hallway (97, 133, 2))
[2018-08-19 16:25:22.905] ATTACK: BoxxyBooty/(Bumps) has punched ChippedIce/(Hana Robusto) (NEWHP: -50.1167)  (Central Primary Hallway (96, 133, 2))
[2018-08-19 16:25:23.150] ATTACK: BuckyBoy/(Beau Richards) has punched ChippedIce/(Hana Robusto) (NEWHP: -54.8417)  (Central Primary Hallway (97, 131, 2))
[2018-08-19 16:25:23.722] ATTACK: BoxxyBooty/(Bumps) has punched ChippedIce/(Hana Robusto) (NEWHP: -55.4417)  (Central Primary Hallway (96, 133, 2))
[2018-08-19 16:25:24.658] ATTACK: BoxxyBooty/(Bumps) has punched ChippedIce/(Hana Robusto) (NEWHP: -57.3083)  (Central Primary Hallway (96, 133, 2))
[2018-08-19 16:25:24.840] ATTACK: BuckyBoy/(Beau Richards) has punched ChippedIce/(Hana Robusto) (NEWHP: -59.7083)  (Central Primary Hallway (97, 131, 2))
[2018-08-19 16:25:25.660] ATTACK: BuckyBoy/(Beau Richards) has punched ChippedIce/(Hana Robusto) (NEWHP: -63.9083)  (Central Primary Hallway (97, 131, 2))
[2018-08-19 16:25:26.438] ATTACK: BuckyBoy/(Beau Richards) has punched ChippedIce/(Hana Robusto) (NEWHP: -69.3)  (Central Primary Hallway (97, 131, 2))
[2018-08-19 16:25:26.508] ATTACK: Bilary/(Lara Black) has attacked ChippedIce/(Hana Robusto) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -78.3)  (Central Primary Hallway (97, 133, 2))
[2018-08-19 16:25:27.445] ATTACK: Bilary/(Lara Black) has attacked ChippedIce/(Hana Robusto) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -88.425)  (Central Primary Hallway (97, 133, 2))
[2018-08-19 16:25:28.277] ATTACK: Bilary/(Lara Black) has attacked ChippedIce/(Hana Robusto) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -99.2167)  (Central Primary Hallway (97, 133, 2))
[2018-08-19 16:25:28.886] ATTACK: BuckyBoy/(Beau Richards) has punched ChippedIce/(Hana Robusto) (NEWHP: -104.017)  (Central Primary Hallway (97, 131, 2))
[2018-08-19 16:25:29.321] ATTACK: Bilary/(Lara Black) has attacked ChippedIce/(Hana Robusto) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -113.017)  (Central Primary Hallway (97, 133, 2))
[2018-08-19 16:25:30.051] ATTACK: BuckyBoy/(Beau Richards) has punched ChippedIce/(Hana Robusto) (NEWHP: -114.817)  (Central Primary Hallway (97, 131, 2))
[2018-08-19 16:25:30.434] ATTACK: Bilary/(Lara Black) has attacked ChippedIce/(Hana Robusto) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: -123.817)  (Central Primary Hallway (97, 133, 2))
