[2018-08-31 00:33:13.222] Starting up round ID 2134.
[2018-08-31 00:33:13.222] -------------------------
[2018-08-31 00:42:08.374] ATTACK: Shoeater/(Scotty Lord) has injected morphine into Jaedo/(Amiyah McDonald) via the sleeper (NEWHP: 61.6)  (Medbay Treatment Center (141, 113, 2))
[2018-08-31 00:42:08.565] ATTACK: Shoeater/(Scotty Lord) has injected morphine into Jaedo/(Amiyah McDonald) via the sleeper (NEWHP: 61.6)  (Medbay Treatment Center (141, 113, 2))
[2018-08-31 00:42:09.867] ATTACK: Jaedo/(Amiyah McDonald) has attempted to disarm Shoeater/(Scotty Lord) (NEWHP: 100)  (Medbay Treatment Center (140, 114, 2))
[2018-08-31 00:42:17.153] ATTACK: *no key*/(goliath) has attacked AstronautCat/(Delia Eld) (NEWHP: 100)  (Lavaland Wastes (106, 34, 5))
[2018-08-31 00:42:18.844] ATTACK: Shoeater/(Scotty Lord) has attacked [holopad] with [stunbaton] (Medbay Treatment Center (141, 114, 2))
[2018-08-31 00:42:28.042] ATTACK: Jaedo/(Amiyah McDonald) has attempted to disarm Shoeater/(Scotty Lord) (NEWHP: 100)  (Medbay Treatment Center (139, 114, 2))
[2018-08-31 00:42:28.159] ATTACK: Shoeater/(Scotty Lord) has fired at [floor] with [electrode] from Medbay Treatment Center (Medbay Treatment Center (138, 114, 2))
[2018-08-31 00:42:28.160] ATTACK: Shoeater/(Scotty Lord) has shot Jaedo/(Amiyah McDonald) with [electrode] (NEWHP: 61.6)  (Medbay Treatment Center (138, 114, 2))
[2018-08-31 00:42:28.706] ATTACK: Shoeater/(Scotty Lord) has fired at [floor] with [electrode] from Medbay Treatment Center (Medbay Treatment Center (138, 114, 2))
[2018-08-31 00:42:30.894] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) passive grab (NEWHP: 61.6)  (Medbay Treatment Center (140, 114, 2))
[2018-08-31 00:42:36.777] ATTACK: Shoeater/(Scotty Lord) has injected epinephrine into Jaedo/(Amiyah McDonald) via the sleeper (NEWHP: 61.6)  (Medbay Treatment Center (141, 113, 2))
[2018-08-31 00:42:41.894] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) passive grab (NEWHP: 61.6)  (Medbay Treatment Center (141, 113, 2))
[2018-08-31 00:42:50.963] ATTACK: SaltyScabbard/(Slippy Joe) has thrown the banana cream pie (Medbay Treatment Center (141, 113, 2))
[2018-08-31 00:42:52.173] ATTACK: Shoeater/(Scotty Lord) has disarmed Jaedo/(Amiyah McDonald) (NEWHP: 61.6)  (Medbay Treatment Center (139, 113, 2))
[2018-08-31 00:42:53.422] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) passive grab (NEWHP: 61.6)  (Medbay Treatment Center (139, 113, 2))
[2018-08-31 00:43:04.204] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) passive grab (NEWHP: 61.6)  (Central Primary Hallway (129, 128, 2))
[2018-08-31 00:43:09.240] ATTACK: Shoeater/(Scotty Lord) has attempted to disarm Jaedo/(Amiyah McDonald) (NEWHP: 61.6)  (Fore Primary Hallway (113, 157, 2))
[2018-08-31 00:43:10.100] ATTACK: Shoeater/(Scotty Lord) has attempted to disarm Jaedo/(Amiyah McDonald) (NEWHP: 61.6)  (Fore Primary Hallway (114, 164, 2))
[2018-08-31 00:43:15.185] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) aggressive grab (NEWHP: 61.6)  (Brig (114, 169, 2))
[2018-08-31 00:43:25.067] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) passive grab (NEWHP: 61.6)  (Brig (109, 170, 2))
[2018-08-31 00:43:44.892] ATTACK: Shoeater/(Scotty Lord) has grabbed Jaedo/(Amiyah McDonald) aggressive grab (NEWHP: 61.6)  (Labor Shuttle Dock (95, 169, 2))
[2018-08-31 00:43:55.108] ATTACK: Shoeater/(Scotty Lord) has thrown Jaedo/(Amiyah McDonald) grab from tile in Labor Shuttle Dock (94, 167, 2) towards tile at Labor Shuttle Dock (94, 170, 2) (NEWHP: 61.6)  (Labor Shuttle Dock (94, 167, 2))
[2018-08-31 00:43:55.110] ATTACK: Shoeater/(Scotty Lord) has thrown Amiyah McDonald (Labor Shuttle Dock (94, 167, 2))
[2018-08-31 00:43:59.992] ATTACK: APersonsName222/(Pavlo Asterton) has attempted to disarm APersonsName222/(Pavlo Asterton) (NEWHP: 100)  (Research Division (181, 113, 2))
[2018-08-31 00:44:00.787] ATTACK: APersonsName222/(Pavlo Asterton) has disarmed APersonsName222/(Pavlo Asterton) (NEWHP: 100)  (Research Division (181, 117, 2))
[2018-08-31 00:44:01.545] ATTACK: SaltyScabbard/(Slippy Joe) has attacked *no key*/(Terk XXXVI) with medical wrench[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 55.2)  (Medbay Treatment Center (142, 114, 2))
[2018-08-31 00:44:01.727] ATTACK: APersonsName222/(Pavlo Asterton) has disarmed APersonsName222/(Pavlo Asterton) (NEWHP: 100)  (Research Division (181, 109, 2))
[2018-08-31 00:44:02.455] ATTACK: SaltyScabbard/(Slippy Joe) has attacked *no key*/(Terk XXXVI) with medical wrench[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 53.2)  (Medbay Treatment Center (142, 114, 2))
[2018-08-31 00:44:02.670] ATTACK: APersonsName222/(Pavlo Asterton) has attempted to disarm APersonsName222/(Pavlo Asterton) (NEWHP: 100)  (Research Division (181, 106, 2))
[2018-08-31 00:44:03.309] ATTACK: SaltyScabbard/(Slippy Joe) has attacked *no key*/(Terk XXXVI) with medical wrench[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 51.2)  (Medbay Treatment Center (142, 114, 2))
